comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
DE_NT-BT_1990__CO|AfIn;DE_NT-BT_1990;Innenausschuss;CO;NA;AfIn;NA;NC;20dec1990;09nov1994
DE_NT-BT_1994__CO|AfIn;DE_NT-BT_1994;Innenausschuss;CO;NA;AfIn;NA;NC;10nov1994;25oct1998
DE_NT-BT_1998__CO|AfIn;DE_NT-BT_1998;Innenausschuss;CO;NA;AfIn;NA;NC;26oct1998;16oct2002
DE_NT-BT_1969__CO|AfInDeBez;DE_NT-BT_1969;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;20oct1969;12dec1972
DE_NT-BT_1972__CO|AfInDeBez;DE_NT-BT_1972;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;13dec1972;13dec1976
DE_NT-BT_1976__CO|AfInDeBez;DE_NT-BT_1976;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;14dec1976;03nov1980
DE_NT-BT_1980__CO|AfInDeBez;DE_NT-BT_1980;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|AfInDeBez;DE_NT-BT_1983;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;29mar1983;17feb1987
DE_NT-BT_1987__CO|AfInDeBez;DE_NT-BT_1987;Ausschuss für innerdeutsche Beziehungen;CO;NA;AfInDeBez;NA;NC;18feb1987;19dec1990
DE_NT-BT_1949__CO|AfInGebNeuO;DE_NT-BT_1949;Ausschuss für innergebietliche Neuordnung;CO;NA;AfInGebNeuO;NA;NC;07sep1949;05oct1953
DE_NT-BT_1949__CO|AfJugFu;DE_NT-BT_1949;Ausschuss für Jugendfürsorge;CO;NA;AfJugFu;NA;NC;07sep1949;05oct1953
DE_NT-BT_1953__CO|AfJugFr;DE_NT-BT_1953;Ausschuss für Jugendfragen;CO;NA;AfJugFr;NA;NC;06oct1953;14oct1957
DE_NT-BT_1969__CO|AfJugFamGes;DE_NT-BT_1969;Ausschuss für Jugend, Familie und Gesundheit;CO;NA;AfJugFamGes;NA;NC;20oct1969;12dec1972
DE_NT-BT_1972__CO|AfJugFamGes;DE_NT-BT_1972;Ausschuss für Jugend, Familie und Gesundheit;CO;NA;AfJugFamGes;NA;NC;13dec1972;13dec1976
DE_NT-BT_1976__CO|AfJugFamGes;DE_NT-BT_1976;Ausschuss für Jugend, Familie und Gesundheit;CO;NA;AfJugFamGes;NA;NC;14dec1976;03nov1980
DE_NT-BT_1980__CO|AfJugFamGes;DE_NT-BT_1980;Ausschuss für Jugend, Familie und Gesundheit;CO;NA;AfJugFamGes;NA;NC;04nov1980;28mar1983
DE_NT-BT_1983__CO|AfJugFamFraGes;DE_NT-BT_1983;Ausschuss für Jugend, Familie, Frauen und Gesundheit;CO;NA;AfJugFamFraGes;NA;NC;29mar1983;17feb1987
DE_NT-BT_1987__CO|AfJugFamFraGes;DE_NT-BT_1987;Ausschuss für Jugend, Familie, Frauen und Gesundheit;CO;NA;AfJugFamFraGes;NA;NC;18feb1987;19dec1990
