"","x"
"1",0.00554016620498615
"2",0.00554016620498615
"3",0.00554016620498615
"4",0.00554016620498615
"5",0.00554016620498615
"6",0.00554016620498615
"7",0.00554016620498615
"8",0.00554016620498615
"9",0.00554016620498615
"10",0.00554016620498615
"11",0.00554016620498615
"12",0.00554016620498615
"13",0.00554016620498615
"14",0.00554016620498615
"15",0.00554016620498615
"16",0.00554016620498615
"17",0.00554016620498615
"18",0.0350877192982456
"19",0.0332409972299169
"20",0.0332409972299169
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.083944037308461
"60",0.0912724850099933
"61",0.0886075949367089
"62",0.101932045303131
"63",0.0852764823451033
"64",0.0846102598267821
"65",0.0832778147901399
"66",0.0826115922718188
"67",0.0992671552298468
"68",0.0819453697534977
"69",0.0899400399733511
"70",0.0819453697534977
"71",0.08927381745503
"72",0.0832778147901399
"73",0.0846102598267821
"74",0.083944037308461
"75",0.0832778147901399
"76",0.0986009327115256
"77",0.109260493004664
"78",0.0859427048634244
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0.0217391304347826
"118",0.0217391304347826
"119",0.0205314009661836
"120",0.0217391304347826
"121",0.0217391304347826
"122",0.0217391304347826
"123",0.0217391304347826
"124",0.0217391304347826
"125",0.0217391304347826
"126",0.0217391304347826
"127",0.0217391304347826
"128",0.0217391304347826
"129",0.0217391304347826
"130",0.0217391304347826
"131",0.0217391304347826
"132",0.0217391304347826
"133",0.0217391304347826
"134",0.0217391304347826
"135",0.0217391304347826
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0.907407407407407
"194",0.905555555555556
"195",0.814814814814815
"196",0.814814814814815
"197",0.814814814814815
"198",0.896551724137931
"199",0.916666666666667
"200",0.853703703703704
"201",0.853703703703704
"202",0.909259259259259
"203",0.905555555555556
"204",0.907407407407407
"205",0.940613026819923
"206",0.925925925925926
"207",0.9
"208",0.942460317460317
"209",0.95
"210",0.909259259259259
"211",0.9
"212",0.894444444444444
"213",0.894444444444444
"214",0.805555555555556
"215",0.805555555555556
"216",0.805555555555556
"217",0.877777777777778
"218",0.883333333333333
"219",0.840740740740741
"220",0.840740740740741
"221",0.875925925925926
"222",0.903703703703704
"223",0.887037037037037
"224",0.875925925925926
"225",0.912962962962963
"226",0.903703703703704
"227",0.991452991452991
"228",0.909259259259259
"229",0.896296296296296
"230",0.909259259259259
"231",0
"232",0.888235294117647
"233",0.896078431372549
"234",0.929411764705882
"235",0.929411764705882
"236",0.884381338742393
"237",0.86078431372549
"238",0.83921568627451
"239",0.83921568627451
"240",0.827450980392157
"241",1.0383631713555
"242",0.882352941176471
"243",0.888235294117647
"244",0.922268907563025
"245",0.886274509803922
"246",0.914807302231237
"247",0.91683569979716
"248",0.920168067226891
"249",0.927450980392157
"250",0.374074074074074
"251",0.237037037037037
"252",0.211111111111111
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0.22962962962963
"292",0.201851851851852
"293",0.231481481481481
"294",0.162835249042146
"295",0.17962962962963
"296",0.198148148148148
"297",0.198148148148148
"298",0.198148148148148
"299",0.211111111111111
"300",0.211111111111111
"301",0.211111111111111
"302",0.177777777777778
"303",0.177777777777778
"304",0.177777777777778
"305",0.177777777777778
"306",0.233333333333333
"307",0.218518518518519
"308",0.218518518518519
"309",0.222222222222222
"310",0.224074074074074
"311",0.185823754789272
"312",0.283333333333333
"313",0.15
"314",0.177777777777778
"315",0.259259259259259
"316",0.235185185185185
"317",0.194444444444444
"318",0.255555555555556
"319",0.218518518518519
"320",0.207407407407407
"321",0.201851851851852
"322",0.22037037037037
"323",0.22037037037037
"324",0.205555555555556
"325",0.207407407407407
"326",0.222222222222222
"327",0.372222222222222
"328",0.380952380952381
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0.407407407407407
"369",0.407407407407407
"370",0.375925925925926
"371",0.368518518518519
"372",0.401851851851852
"373",0.385185185185185
"374",0.364197530864197
"375",0.357407407407407
"376",0.37962962962963
"377",0.333333333333333
"378",0.355555555555556
"379",0.32037037037037
"380",0.32037037037037
"381",0.347222222222222
"382",0.338888888888889
"383",0.333333333333333
"384",0.816666666666667
"385",0
"386",0.923076923076923
"387",0
"388",0.942307692307692
"389",0.466666666666667
"390",0
"391",0.2
"392",0.846153846153846
"393",0
"394",0.8125
"395",0.833333333333333
"396",0
"397",0.666666666666667
"398",0.727272727272727
"399",0
"400",0.666666666666667
"401",0.909090909090909
"402",0
"403",0.918367346938776
"404",0.909090909090909
"405",0
"406",0.727272727272727
"407",0.87719298245614
"408",0
"409",0.907692307692308
"410",0.719512195121951
"411",0
"412",0.593023255813954
"413",0.825
"414",0
"415",0.783783783783784
"416",0.904761904761905
"417",0
"418",0.866666666666667
"419",0.9
"420",0
"421",0.875
"422",0.818181818181818
"423",0
"424",0.9
"425",0.714285714285714
"426",0
"427",0.526315789473684
"428",0.384615384615385
"429",0
"430",0.636363636363636
"431",0.71875
"432",0.703125
"433",0.447368421052632
"434",1.39473684210526
"435",1.8
"436",1.73333333333333
"437",0.555555555555556
"438",0.333333333333333
"439",0.5
"440",1.13333333333333
"441",1.33333333333333
"442",0.5625
"443",0.4375
"444",1.45454545454545
"445",1.27272727272727
"446",0.75
"447",0.5
"448",2
"449",2
"450",2.3
"451",0.5
"452",0.875
"453",0.375
"454",1.18181818181818
"455",1
"456",1
"457",1.16666666666667
"458",2.75
"459",4.5
"460",0.833333333333333
"461",1
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0.395348837209302
"481",0.818181818181818
"482",0.511111111111111
"483",0
"484",0
"485",0.583333333333333
"486",0
"487",0.0476190476190476
"488",0.1
"489",0
"490",0.16
"491",0
"492",0.628571428571429
"493",0.533333333333333
"494",0.421052631578947
"495",0
"496",0
"497",0.6
"498",0
"499",0.25
"500",0.6
"501",0.26984126984127
"502",0
"503",0.709090909090909
"504",0
"505",0
"506",0
"507",0.825
"508",0.125
"509",0.384615384615385
"510",0
"511",0.620689655172414
"512",0.521739130434783
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0.333333333333333
"524",0.8
"525",0.583333333333333
"526",0.333333333333333
"527",0
"528",0
"529",0.428571428571429
"530",0.466666666666667
"531",0
"532",0.666666666666667
"533",0
"534",0
"535",0
"536",0.5
"537",0
"538",0.566666666666667
"539",0
"540",4.5
"541",1.04545454545455
"542",1.33333333333333
"543",0.046875
"544",0.105263157894737
"545",0.173913043478261
"546",1.46666666666667
"547",1.06666666666667
"548",1.23684210526316
"549",0.727272727272727
"550",0.75
"551",1.5
"552",0.333333333333333
"553",0.234375
"554",1.36666666666667
"555",0
"556",0.625
"557",0
"558",1.63636363636364
"559",1.09090909090909
"560",0
"561",0.166666666666667
"562",2.75
"563",1
"564",0.5
"565",0
"566",26.5
"567",0.416666666666667
"568",0.875
"569",0
"570",2
"571",1
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0.271604938271605
"731",0.415094339622642
"732",0.691176470588235
"733",0.614035087719298
"734",0.456140350877193
"735",0.524590163934426
"736",0.5
"737",0.213483146067416
"738",0.415094339622642
"739",0.65
"740",0.65
"741",0.246913580246914
"742",0.213483146067416
"743",0.164383561643836
"744",0.215189873417722
"745",0.857142857142857
"746",0.925
"747",0.848484848484849
"748",0.848484848484849
"749",0.633333333333333
"750",0.611111111111111
"751",0.555555555555556
"752",0.555555555555556
"753",0.625
"754",0.56
"755",0.5
"756",0.666666666666667
"757",0.5
"758",0.40625
"759",0.5
"760",0.65625
"761",0.134615384615385
"762",0.466666666666667
"763",0.878787878787879
"764",0.875
"765",0.447368421052632
"766",0.458333333333333
"767",0.4
"768",0.380952380952381
"769",0.476190476190476
"770",0.25
"771",0.45
"772",0.428571428571429
"773",0.2
"774",0.027027027027027
"775",0.903225806451613
"776",0.117647058823529
"777",0.166666666666667
"778",0.384615384615385
"779",0.5
"780",0.85
"781",0.333333333333333
"782",0.5
"783",0.4
"784",0.5
"785",0.458333333333333
"786",0.923076923076923
"787",0.153846153846154
"788",0.80952380952381
"789",0.125
"790",0.142857142857143
"791",0.5
"792",0.521739130434783
"793",0.454545454545455
"794",0.521739130434783
"795",0.571428571428571
"796",0.6
"797",0.6
"798",0.6
"799",0.307692307692308
"800",0.411764705882353
"801",1.11111111111111
"802",0.583333333333333
"803",0.5
"804",0.545454545454545
"805",0.5
"806",0.239130434782609
"807",0.470588235294118
"808",0.576923076923077
"809",0.333333333333333
"810",0.230769230769231
"811",0.0975609756097561
"812",0.166666666666667
"813",0.230769230769231
"814",0.6
"815",0.0833333333333333
"816",0.181818181818182
"817",0.333333333333333
"818",0.230769230769231
"819",0.0277777777777778
"820",0.0277777777777778
"821",0
"822",0.0625
"823",0.166666666666667
"824",0.0666666666666667
"825",0.285714285714286
"826",1.22222222222222
"827",2.11111111111111
"828",0.666666666666667
"829",0.666666666666667
"830",0.3
"831",0.7
"832",0
"833",0.5
"834",0
"835",0
"836",0.846153846153846
"837",0.769230769230769
"838",0.25
"839",0.461538461538462
"840",0.846153846153846
"841",0.25
"842",0.416666666666667
"843",0.5
"844",0.333333333333333
"845",0.25
"846",1.27027027027027
"847",1.32432432432432
"848",1.2972972972973
"849",1.26315789473684
"850",0.027027027027027
"851",0.027027027027027
"852",0.027027027027027
"853",0.297297297297297
"854",0.0789473684210526
"855",0.108108108108108
"856",0.155555555555556
"857",0.133333333333333
"858",0.2
"859",0.181818181818182
"860",0.2
"861",0.222222222222222
"862",2
"863",2
"864",1
"865",2
"866",1.66666666666667
"867",1.5
"868",1.5
"869",1.5
"870",1.33333333333333
"871",1
"872",1.04761904761905
"873",1.59090909090909
"874",1.57142857142857
"875",1.72727272727273
"876",1.19047619047619
"877",1.95454545454545
"878",1.52380952380952
"879",1.66666666666667
"880",1.90909090909091
"881",2.23809523809524
"882",1
"883",1
"884",1
"885",0.833333333333333
"886",1
"887",0.5
"888",1.85714285714286
"889",1.85714285714286
"890",1.33333333333333
"891",1
"892",0.818181818181818
"893",0.555555555555556
"894",0.714285714285714
"895",0.142857142857143
"896",0.142857142857143
"897",0.714285714285714
"898",0.333333333333333
"899",0.833333333333333
"900",0.714285714285714
"901",0.142857142857143
"902",0.32258064516129
"903",0.310344827586207
"904",0.709677419354839
"905",0.709677419354839
"906",0.838709677419355
"907",1
"908",1.10344827586207
"909",0.724137931034483
"910",0.633333333333333
"911",1
"912",0.28169014084507
"913",0.515625
"914",0.253521126760563
"915",0.21875
