Aaron
Abraham
Abram
Achim
Joachim
Adalbert
Albert
Adam
Adelbert
Adalbert
Adi
Adolf
Adrian
Adolf
Adrian
Hadrian
Alban
Albert
Albrecht
Albert
Alex
Alexander
Alexandra
Alexander
Alexis
Alfons
Alfonso
Alfred
Alois
Aloysius
Alwin
Alfwin
Adalwin
Andrew
Andreas
Andrew
Anselm
Ansgar
Anton
Anthony
Arend
Arnold
Armin
Arminius
Arnd
Arnold
Arndt
Arnold
Arne
Arnold
Arnfried
Arno
Arnoud
Arnold
Arnold
Arnulf
Arthur
Artur
Arthur
August
Augustus
Augustin
Augustine
Aurel
Aurelius
Axel
Absalom
Baldur
Balder
Baptist
Baptiste
Barnabas
Bartholomew
Bastian
Sebastian
Beat
Beatus
Ben
Benjamin
Benedict
Benedikt
Benedict
Benjamin
Benno
Bernd
Bernhard
Bernhard
Bernard
Bert
Albert
Berthold
Bertram
Bode
Bonifaz
Boniface
Boris
Bruno
Burchard
Burkhard
Burkhard
Burkhart
Burkhard
Carl
Charles
Carsten
Karsten
Christian
Christos
Christoph
Christopher
Claus
Nicholas
Clemens
Clement
Conrad
Corbinian
Korbinian
Cord
Conrad
Cornelius
Dan
Daniel
Daniel
David
Denis
Dionysius
Dennis
Denis
Detlef
Detlev
Detlef
Didi
Dieter
Diederich
Dietrich
Dierk
Dirk
Dieter
Dietfried
Diethelm
Dietmar
Dietrich
Theodoric
Dirk
Diederik
Dominik
Dominic
Ebbe
Eberhard
Esben
Eberhard
Everard
Eckart
Ekkehard
Eckbert
Egbert
Eckehard
Ekkehard
Eckhard
Ekkehard
Eckhart
Ekkehard
Edgar
Edmund
Iii
Eduard
Edward
Egon
Eike
Ekkehard
Ekkehardt
Ekkehard
Elias
Elijah
Elmar
Elmo
Erasmus
Emanuel
Emmanuel
Emil
Emmerich
Engel
Engelbert
Erdmann
Hartmann
Erhard
Eberhard
Eric
Erich
Eric
Erik
Eric
Ernst
Ernest
Erwin
Eburwin
Eugen
Eugene
Evelyn
Aveline
Ewald
Fabian
Fabius
Falk
Felix
Ferdi
Ferdinand
Ferdinand
Fiete
Friedrich
Filibert
Florentin
Florentinus
Florian
Florus
Frank
Franz
Francis
Franz
Xaver
Franz
Xaver
Fred
Frederick
Friedemann
Friedhelm
Friedhold
Friedrich
Frederick
Fritz
Friedrich
Gabi
Gabriele
Gabriel
Gabriela
Gabriella
Gabriel
Gebhard
Georg
George
Gerald
Gerd
Gerhard
Gereon
Gerfried
Gerhard
Gerard
Gerhardt
Gerard
Gerhold
Gerald
Gernot
Gero
Gerold
Gerald
Gert
Gerhard
Gerulf
Gervas
Gervasius
Gilbert
Gisbert
Gilbert
Gottfried
Godfrey
Gotthard
Godehard
Gotthilf
Gotthold
Gottlieb
Goteleib
Gottlob
Gottschalk
Gregor
Gregory
Guido
Wido
Gunter
Gunther
Guntram
Gustaf
Gustav
Gustav
Gostislav
Hagen
Hanne
Johanne
Johanna
Johannes
Hannes
Johannes
Hans
Johannes
Hans
Hans
Hans
Hans
Hans
Hans
Hans
Hans
Peter
Hans
Peter
Hanspeter
Hans
Peter
Harald
Harold
Hartmann
Hartmut
Hartwig
Hartwin
Hasso
Hadubert
Heike
Henrike
Heinrich
Heiko
Heinrich
Heiner
Heinrich
Heino
Hamo
Heinrich
Henry
Heinz
Heinrich
Helfried
Helmfried
Helge
Helmfried
Helmut
Helmuth
Helmut
Hendrik
Henry
Henning
Henrik
Henrik
Henry
Herbert
Heribert
Herbert
Hermann
Herman
Hermenegild
Hermenegildo
Hieronymus
Jerome
Hilbert
Hildebert
Hildebert
Hildebrand
Hilmar
Hinnerk
Heinrich
Hinrich
Heinrich
Horst
Hubert
Hubertus
Hubert
Hugo
Hugh
Humbert
Ignatz
Ignatius
Ignaz
Ignatius
Immanuel
Emmanuel
Inge
Ing
Ingo
Inge
Ingolf
Ing
Ingomar
Ingemar
Isaak
Isaac
Isidor
Isidore
Ivo
Jakob
Jacob
James
Jan
Johannes
Jeremias
Jeremiah
Joan
Joanna
Josephine
Johannes
Josef
Joachim
Jehoiachin
Jehoiakim
Jochen
Joachim
Jochim
Joachim
Jockel
Jakob
Joachim
Johann
John
Johann
Baptist
Johann
Baptist
Johannes
John
Jonas
Jonah
Jonatan
Jonathan
Jonathan
Yahweh
George
Joschka
Josef
Joseph
Joseph
Jost
Joyce
Julian
Julius
Julius
Jupiter
George
Justus
Kai
Gerhard
Nicolaas
Cornelis
Gaius
Karl
Charles
Karl
Heinz
Karl
Heinz
Karlheinz
Karl
Heinz
Karlmann
Carloman
Karsten
Christian
Kasimir
Casimir
Kaspar
Jasper
Kay
Kai
Kevin
Kilian
Cillian
Klaas
Nicholas
Klaus
Nicholas
Klaus
Peter
Klaus
Peter
Klemens
Clement
Knut
Kolman
Koloman
Koloman
Konrad
Conrad
Konstantin
Constantine
Korbinian
Raban
Korbinian
Kord
Conrad
Kunibert
Kuno
Kurt
Conrad
Lambert
Lamprecht
Lambert
Lars
Laurence
Laurenz
Laurence
Leberecht
Lennart
Leonard
Lenz
Lorenz
Leo
Leon
Leon
Leonard
Leonhard
Leonard
Leopold
Levin
Leobwin
Lian
Julian
Kilian
Linus
Lorenz
Laurence
Lothar
Ludger
Ludolf
Ludwig
Luitger
Ludger
Luitpold
Leopold
Lukas
Luke
Lutz
Ludwig
Malte
Helmold
Malthe
Malte
Manfred
Manfried
Manfred
Manu
Manuel
