Abigail
Ada
Adelaide
Adelina
Adele
Adela
Adelheid
Adelaide
Agathe
Agatha
Agnes
Albina
Albinus
Alena
Magdalena
Helena
Alex
Alexander
Alexandra
Alexa
Alexandra
Alexandra
Alexander
Alexis
Alfreda
Alfred
Alice
Adelaide
Alida
Adelaide
Alina
Adelina
Albina
Aloisia
Aloysius
Alwine
Alwin
Amalia
Amalie
Amalia
Amelia
Amalia
Emilia
Iii
Amelie
Amelia
Andrea
Andrew
Anelie
Anneliese
Angela
Angel
Angelika
Angelica
Angelina
Angela
Anika
Anna
Ana
Anina
Anna
Anita
Ana
Anja
Anya
Anke
Anna
Anna
Hannah
Annalena
Anna
Lena
Anne
Anna
Annegret
Anna
Grete
Anneli
Annelie
Annelie
Anna
Anneliese
Annelies
Anneliese
Anneliese
Anna
Liese
Annemarie
Anna
Marie
Annett
Annette
Annette
Anne
Anni
Anna
Annika
Anna
Anselma
Anselm
Antje
Anna
Antonia
Anthony
Ariane
Ariadne
Astrid
Augusta
Augustus
Iii
Auguste
Augusta
Augustine
Augustine
Aurora
Ava
Babette
Elizabeth
Barbara
Barbara
Barbara
Beata
Beate
Beata
Beatrix
Benedikta
Benedict
Berta
Bertha
Bertha
Bettina
Elisabeth
Benedetta
Elisabetta
Bianka
Bianca
Birgit
Birgitta
Brigitta
Bridget
Brigitte
Bridget
Brunhilde
Cecilia
Cecilia
Caecilia
Cecilia
Camilla
Camillus
Carina
Carina
Karina
Carla
Carlo
Carlos
Carl
Carola
Carolus
Carolin
Carolus
Caroline
Carolus
Cassandra
Cathrin
Katharina
Catrin
Katherine
Katharina
Cecilia
Celine
Charlotte
Charles
Christa
Christina
Christel
Christine
Christina
Christiane
Christian
Christin
Kristin
Christina
Christian
Christine
Christina
Clara
Claudia
Claudius
Constanze
Constantia
Cora
Kore
Cordula
Corinna
Cordula
Corina
Corinna
Corinna
Cornelia
Cornelius
Crescentia
Crescentius
Dagmar
Dana
Daniel
Dan
Daniela
Daniel
Debora
Deborah
Diana
Zeus
Dietlinde
Dita
Judita
Dietlinde
Doris
Dorothea
Dorthe
Ebba
Ebbe
Edelgard
Edith
Eike
Elena
Helen
Yelena
Eleonora
Eleanor
Eleonore
Eleanor
Elfriede
Elfreda
Elisa
Elisabeth
Elisabeth
Elizabeth
Elise
Elizabeth
Elke
Adelheid
Elli
Elizabeth
Elma
Wilhelmine
Anselma
Elizabeth
Mary
Elsa
Elisabeth
Else
Elisabeth
Elvira
Emilia
Emil
Emilie
Emil
Emma
Emmy
Emma
Emily
Erika
Erik
Ermentrud
Ermendrud
Erna
Ernest
Ernestine
Ernest
Esther
Ishtar
Eva
Eve
Evelin
Evelina
Evelyn
Aveline
Evi
Eve
Felicie
Felicia
Felicitas
Felizitas
Felicitas
Flora
Franka
Frank
Franziska
Franzi
Franziska
Franziska
Francis
Frauke
Freya
Frieda
Frida
Friede
Friederike
Frederick
Fritzi
Friederike
Gabi
Gabriele
Gabriel
Gabriela
Gabriella
Gabriela
Gabriel
Gabriele
Gabriel
Georgina
George
Gerda
Gerd
Gerhild
Gerlinde
Gertraud
Gertrude
Gertrud
Gertrude
Gisa
Giselle
Gisela
Giselle
Gitta
Brigitta
Margit
Gloria
Gratia
Greta
Margareta
Gretchen
Margareta
Grete
Margaret
Gretel
Grete
Gudrun
Gunda
Gundula
Gunda
Hanna
Hannah
Hanna
Johanna
Hannah
Hanne
Johanne
Johanna
Johannes
Hanne
Hanna
Hannelore
Hanne
Eleonore
Hedwig
Hedy
Hedwig
Heida
Adelheid
Heide
Adelheid
Heidemarie
Heide
Marie
Heidi
Adelheid
Heidrun
Heike
Henrike
Heinrich
Heilwig
Heinrike
Heinrich
Helena
Helen
Helene
Helen
Helga
Helge
Hella
Helga
Helma
Wilhelmina
Helmine
Wilhelmine
Henriette
Henry
Henrike
Henry
Hermina
Herman
Hermine
Herman
Herta
Hertha
Hertha
Nerthus
Hilda
Hilde
Hilda
Hildegard
Hiltraud
Hiltrud
Hiltrud
Hiltrude
Hiltrud
Hulda
Ida
Ilona
Helen
Ilsa
Ilse
Ilse
Elisabeth
Imke
Ime
Ina
Inga
Inge
Inge
Ing
Ingeborg
Ing
Ingeburg
Ingeborg
Ingrid
Ing
Inka
Inge
Irene
Iris
Irma
Emma
Irmentrud
Ermendrud
Irmgard
Irmingard
Irmhild
Irmingard
Irmtraud
Irmentrud
Irmtrud
Irmtraud
Isa
Isabella
Isabel
Elizabeth
Isabell
Isabel
Isabella
Isabel
Isabelle
Isabel
Isolde
Ivonne
Yvonne
Jana
Jan
Janina
Jeannine
Janine
Jeannine
Jasmin
Jasmine
Jennifer
Guinevere
Jenny
Jane
Jennifer
Jessica
Iscah
Jessika
Jessica
Joan
Joanna
Josephine
Johannes
Josef
Johanna
Joanna
Josefine
Josepha
Joseph
Josephine
Judit
Judith
Judith
Julia
Julius
Juliana
Julian
Juliane
Julian
Julie
Julia
Justine
Justina
Jutta
Judith
Judda
Karen
Katherine
Karin
Katherine
Karina
Karin
Karla
Charles
Karola
Carolus
Karolina
Carolus
Karoline
Carolus
Kasimira
Kasimir
Katarina
Katherine
Katarine
Katherine
Katharina
Katherine
Katharine
Katherine
Katharina
Katherine
Katherina
Katherine
Kathrin
Katharina
Katinka
Katharina
Katalin
Catharina
Katja
Katya
Katrin
Katherine
Katrina
Catriona
Katherine
Kerstin
Christina
Kiki
Kinge
Kunigunde
Klara
Clara
Konstanze
Constantia
Kora
Cora
Kornelia
Cornelia
Kreszentia
Crescentia
Kreszenz
Crescentia
Kriemhild
Kriemhilde
Kriemhild
Krimhilde
Kriemhild
Krista
Kristina
Kristiane
Christina
Kristin
Christina
Kristina
Christina
Christina
Hristina
Kristine
Christine
Kunigunde
Lara
Larisa
Larissa
Larisa
Laura
Lea
Leah
Lena
Helena
Magdalena
Yelena
Lene
Helene
Magdalene
Leni
Helene
Magdalena
Leona
Leon
Leonie
Leonius
Leonore
Eleanor
Liane
Juliane
Lies
Elisabeth
Liesa
Elisabeth
Liese
Elisabeth
Liesel
Elisabeth
Lieselotte
Liselotte
Liesl
Elisabeth
Lili
Elisabeth
Karolina
Lilli
Lili
Lilja
Lilo
Liselotte
Lina
Linda
Lisa
Elizabeth
Lisbeth
Elisabeth
Liselotte
Lise
Charlotte
Lore
Eleonore
Lotte
Charlotte
Liselotte
Lotti
Charlotte
Liselotte
Louisa
Louis
Louise
Louis
Lucia
Lucius
Luise
Louise
Luitgard
Lulu
Luise
Lutgard
Luitgard
Luzia
Lucia
Lydia
Lydos
Magda
Magdalena
Magdalena
Magdalene
Magdalene
Maike
Maria
Maja
Maia
Maja
Maria
Manu
Manuel
Emmanuel
Manuela
Manuela
Manuel
Marcella
